,id,Geographic area name,Estimated Percent,Worked full time,Worked full time disability,With a hearing difficulty Worked full time,With a vision difficulty Worked full time,With a cognitive difficulty Worked full time,With an ambulatory difficulty Worked full time,With a self care difficulty Worked full time,With an independent living difficulty Worked full time,No disability Worked full time ,Worked less than full time,Worked less than full time disability,With a hearing difficulty Worked less than full time,With a vision difficulty Worked less than full time,With a cognitive difficulty Worked less than full time,With an ambulatory difficulty Worked less than full time,With a self care difficulty Worked less than full time,With an independent living difficulty Worked less than full time,No disability Worked less than full time,Did not work,Did not work disability,With a hearing difficulty Did not work,With a vision difficulty Did not work,With a cognitive difficulty Did not work,With an ambulatory difficulty Did not work,With a self care difficulty Did not work,With an independent living difficulty Did not work,No disability Did not work,With a hearing difficulty,With a vision difficulty,With a cognitive difficulty,With an ambulatory difficulty,With a self care difficulty,With an independent living difficulty
41,0400000US45,South Carolina,14.2,55.14749282,2.727194526,0.805552982,0.820540476,0.696174053,0.880291942,0.199039212,0.422561306,52.42029829,22.45209296,2.100862856,0.328368381,0.474405463,0.956916745,0.771177693,0.21591255,0.589475008,20.3512301,22.40041422,7.006272911,0.976139116,1.308543864,3.168184164,4.153190053,1.643760835,3.39564337,15.39414131,3.8,2.9,5.4,7.8,2.9,6.5
42,0400000US46,South Dakota,12.6,60.92651587,3.638513667,1.448879872,0.773579645,1.087796939,0.901125369,0.19932727,0.535692039,57.2880022,25.45456703,2.861374607,0.621908994,0.522047613,1.589476786,0.675893463,0.302352576,0.728493715,22.59319242,13.61891711,4.472801122,0.880559857,0.833694219,2.498314221,2.615379444,1.165115355,1.897563976,9.146115986,4.5,2.2,4.9,6.3,2.2,4.8
43,0400000US47,Tennessee,15.5,55.34834814,3.265279043,1.072547772,0.821319927,0.926860013,0.965227139,0.156834471,0.33008412,52.0830691,22.8564167,2.231342308,0.454405317,0.427111729,1.02615599,0.7952215,0.215543735,0.565848038,20.62507439,21.79523516,7.72264641,1.309140986,1.392680343,3.817346136,4.672911101,1.671128603,3.643901359,14.07258875,4.5,3.1,6.4,8.6,2.9,6.9
44,0400000US48,Texas,11.5,57.05728133,2.712756719,0.850955347,0.726789857,0.73667251,0.853656338,0.197452771,0.36954369,54.34452461,22.09523112,1.842917322,0.338173277,0.418630775,0.834520501,0.60835253,0.171055158,0.436662181,20.2523138,20.84748755,4.88357554,0.703631145,0.944385615,2.431996676,2.790398777,1.375559976,2.486806201,15.96391201,3.2,2.4,4.8,6.2,2.5,5.3
45,0400000US49,Utah,9.3,55.03291508,2.5950927,0.882111308,0.438938248,0.949550686,0.634163074,0.122915414,0.397701768,52.43782238,29.38160101,2.147896569,0.415223302,0.249324548,1.247046219,0.555183833,0.166639846,0.69509143,27.23370444,15.58548391,3.318504434,0.383779824,0.417181902,1.877450897,1.617274644,0.785292922,1.697312588,12.26697948,2.8,1.4,4.3,4.2,1.6,4.1
46,0400000US50,Vermont,15.1,54.43710477,2.70261799,0.912104187,0.562098571,0.819378818,0.933522441,0.11153164,0.287579241,51.73448678,29.63189335,3.015011062,0.525269622,0.366461104,1.711370742,0.741802947,0.395192908,0.713854737,26.61688229,15.93100188,6.415289499,1.036695738,1.108525249,3.283261634,3.450428496,1.463493631,3.110348412,9.515712379,4.6,2.4,6.3,7,2.5,5.7
47,0400000US51,Virginia,12.2,58.11214247,2.795423482,0.928727116,0.675027575,0.663089003,0.806039237,0.19271708,0.464881352,55.31671898,23.60070068,1.95839476,0.380744705,0.356066446,0.902114456,0.654139959,0.237872629,0.587940479,21.64230592,18.28715685,4.991788568,0.715630444,0.819540961,2.415792523,2.80134392,1.210622007,2.546882343,13.29536828,3.5,2.2,4.7,6.4,2.5,5.6
48,0400000US53,Washington,12.7,54.41555882,2.712419622,0.937508606,0.486976944,0.764963649,0.828516991,0.177729911,0.337732011,51.7031392,27.19493535,2.303130938,0.418195619,0.338097754,1.195573039,0.725743019,0.216477226,0.684198841,24.89180442,18.38950582,5.196292478,0.758573892,0.694654807,2.860007952,2.791850543,1.277865365,2.661129451,13.19321335,3.8,1.9,5.5,6.4,2.5,5.7
49,0400000US54,West Virginia,19.8,49.45110305,3.738273087,1.333049102,0.794380641,1.21785913,1.360579984,0.241946739,0.551955935,45.71282996,22.51146642,2.790560731,0.657108607,0.589428524,1.120831891,1.15629702,0.359717732,0.83386069,19.72090569,28.03743053,10.50867127,2.041300146,1.999525857,5.058703869,6.575196588,2.305233353,4.562861223,17.52875926,6.3,3.9,7.9,11.7,4,8.8
50,0400000US55,Wisconsin,11.8,59.22967655,2.491356213,0.853721513,0.466943325,0.737450594,0.629905716,0.122078743,0.302693486,56.73832034,25.8650153,2.304161177,0.436616757,0.289876219,1.192978541,0.707410125,0.242526718,0.709956413,23.56085412,14.90530815,4.601255692,0.6358852,0.501389729,2.381436707,2.727874837,1.301553378,2.213610621,10.30405246,3.5,1.7,4.7,6,2.4,5
51,0400000US56,Wyoming,13.4,57.17143051,3.4677869,1.428710502,0.772323786,0.868790508,0.731613059,0.226269039,0.466403325,53.70364361,26.5602091,3.404360768,0.618921048,0.425102588,1.590078383,1.260262496,0.134227396,0.872625576,23.15584833,16.26836039,4.61683241,0.813624523,0.602695758,2.079787124,2.983683259,0.997412804,2.196314204,11.65152798,4.8,2.7,4.7,6.2,1.6,4.6
52,0400000US72,Puerto Rico,21.6,35.13577027,2.240620236,0.358844461,0.908705228,0.483155835,0.884477248,0.157273905,0.17068768,32.89515004,20.32431179,2.030211147,0.278673762,0.767496657,0.72408386,0.706874715,0.173963136,0.33648817,18.29410064,44.53991794,11.79221544,1.589844213,3.146413947,6.100927734,6.018781364,2.512119189,5.424675938,32.7477025,4.4,6.6,9.8,12.2,5.2,11.5
53,,,12.7,55.21649844,2.535067412,0.796437346,0.605890056,0.717900184,0.781367642,0.165607288,0.34592174,52.68143103,24.50179492,2.119385673,0.380304815,0.387194567,1.028615991,0.693111115,0.2031078,0.584170788,22.38240925,20.28170664,5.666627438,0.783694814,0.936662866,2.879749097,3.235274871,1.395615159,2.837319954,14.6150792,3.6,2.3,5.2,6.9,2.6,5.9
